*sentences
maganda si Kristel | Kristel is beautiful
siya ay isang lalaki | he is a man
siya ay isang babae | she is a woman
marunong siya | she is intelligent
mabait siya | she is kind
sila ay sina John at Mary | they are John and Mary
sila ay magkaibigan | they are friends
marurunog sila | they are intelligent
kayo po ba ay guro? | are you a teacher sir/ma'am?
ito ay si John | this is John
ito ay isang lalaki | this is a man
ito ay pagkain | this is food
maliit ito | this is small
malaki ito | this is big
iyan ay si Mary | that is Mary
iyan ay pagkain | that is food
iyan ay pagkain ni mary | that is food of mary (that's Mary's food)
marami iyan | that is plenty
mainit iyan | that is hot
mahaba iyon | that is long
ang mga ito ay mababait | these are good
ang mga iyan ay malalaki | those are big
ang mga iyon ay malilinis | those are clean
ang mesang ito ay malinis | this table is clean
itong mesang ito ay malinis | this table is clean
malaki iyong bahay na iyon | that house is big
maganda ang suot mong iyan | your clothes are beautiful
ang lalaki ay kumain sa mesang ito | the man ate on this table
pumunta kami sa bahay na iyan | we went to that house
sumakay sila sa bus na iyon | they rode on that bus
ang malaking bahay ay isang paaralan | the big house is a school
marunong ang batang mabait | the good child is intelligent
ang mayamang lalaki ay mapagbigay | the rich man is generous
ang hanging malakas ay malamig | the strong wind is cold
kumain siya ng Maasim na mangga | she ate a sour mango
maganda ang tahimik na babae | The Quiet Woman is beautiful
mabait at masunuring aso | the obedient dog is good
ang lolo ko ay matandang lalaki | my grandfather is an old man
ang ibong lumilipad ay binaril | the flying bird was shot
pagod na dumating si tatay sa bahay | my father arrived home tired
kumaing mabilis Si Pablo | Pablo ate quickly
mabilis na kumain si Pablo | Pablo ate quickly
mahal na totoo ang relo mo | your watch is truly expensive
totoong mahal ang relo mo | your watch is truly expensive
kung wala pa ako mauna na kayo | if I am not around yet you may go ahead
mamatay mabuhay ang relo ko | my watch stops periodically
ayaw kumain ng maysakit | the sick person does not want to eat
gabing-gabi na siya umuwi | she came home very late
mabait na mabait ang guro ko | my teacher is very kind
ang bahay na iyan ay akin | that house over there is mine
ito ang aking lupa | This Is My Land
marunong ka | you are intelligent
mababait kayo | you guys are kind
kinuha ko ito | I took this
kung ako ay ikaw aalis ako | if I were you I would leave
lalaking mataba | fat man
ibong lumilipad | flying bird
ang bahay ni Maria | the house of Maria
ang baro ni Juan | the shirt of Juan
ang lapis ni Helen | the pencil of Helen
ang sapatos ni Berto | the shoes of Berto
ang aklat ni Paolo | the book of Paulo
ang bahay ng lalaki | The House of the man
ang baro ng babae | the dress of the woman
ang Lapis ng guro | the pencil of the teacher
ang sapatos ng lalaki | the shoes of the man
ang aklat ng babae | the book of the woman
ang bahay nina Maria at Pedro | the house of Maria and Pedro
ang Lapis nina Haley | the pencil of Haley and Company
ang bahay ng mga lalaki | The House of the men
ang mga damit ng mga babae | the clothes of the women
ang aking bahay ay malaki | my house is big
ang bahay ko ay malaki | my house is big
ang iyong baro ay bago | your dress is new
ang baro mo ay bago | your dress is new
malinis ang kaniyang sapatos | his shoes are clean
malinis ang sapatos niya | her shoes are clean
luma ang aming kotse | our car is old
luma ang kotse namin | our car is old
malaki ang ating bahay | our house is big
malaki ang bahay natin | our house is big
ang inyong ama ay masipag | your father is industrious (plural)
ang ama ninyo ay masipag | your father is industrious (plural)
mahaba ang kanilang lapis | their pencil is long
mahaba ang lapis nila | their pencil is long
ang ina niya ay pumunta sa kanyang bahay | her mother went to her house
ang kanyang ina ay pumunta sa bahay niya | her mother went to her house
ang aking mga aso ay mababait | my dogs are good
kakulay ng iyong Baro ang pitaka mo | your dress is the same color as your wallet
pumunta sa aming bahay ang guro namin | our teacher went to our house
naghanap ang aking anak na babae ng regalo para sa kaniyang kapatid na babae | my daughter looked for my gift for her sister
mahaba ang pasensiya nila sa kanilang ama | they have long patience for their father
ang pang-unawa ninyo ay mas mahalaga sa inyong abuloy | your understanding is more important than your contribution
ang mga sapatos ng lalaki ay bago | the shoes of the man are new
ang kanilang bahay ay malaki | their house is big
ang damit ng babae ay marumi | the clothing of the woman is dirty
ang aklat ni Peter ay malinis | the book of Peter is clean
ang iyong pagkain ay malamig | your food is cold
ang bahay nito ay malaki | the house of this person is big
malaki ang bahay nito | the house of this person is big
ang bahay niyan ay maliit | the house of that person is small
Maliit ang bahay niyan | The House of that person is small
ang bahay niyon ay maliit | The House of that person is small
Maliit ang bahay niyon | The House of that person is small
ang bahay ng mga ito | the house of these people
ang bahay ng mga iyan | The House of those people
ang bahay ng mga iyon | the house of those people
ang aso nito ay matalino | the dog of this person is intelligent
ang aso niyan ay matalino | the dog of that person is intelligent
ang aso niyon ay matalino | the dog of that person is intelligent
ang gamot nito ay mabisa | the medicine of this person is effective
ang gamot niyon ay mabisa | the medicine of that person is effective
ang damit nito ay maganda | the clothing of this person is beautiful
ang damit niyon ay maganda | the clothing of that person is beautiful
ang aklat nito ay malinis | the book of this person is clean
ang aklat niyan ay malinis | the book of that person is clean
ang paaralan nito ay malaki | The School of this person is big
ang paaralan niyon ay malaki | The school of that person is big
ang mga sapatos nito ay bago | the shoes of this person are new
ang mga sapatos niyon ay bago | the shoes of that person are new
matalino ang aso nito | the dog of this person is intelligent
mabisa ang gamot nito | the medicine of this person is effective
maganda ang damit niyan | the clothing of that person is beautiful
bago ang mga sapatos niyan | the shoes of that person are new
malinis ang aklat niyon | the book of that person is clean
malaki ang paaralan niyon | The school of that person is big
sino ba kayo? | who are you
ano ba ang pangalan ninyo? | what is your name?
alin ba ang iyong gusto? | which one do you like?
gaano kalaki ang Philippines? | how large is the Philippines?
paano mo malalaman? | how will you know?
bakit siya galit? | why is she/he angry?
kailan kayo dumating sa Philippines? | when did you arrive in the Philippines?
nasaan siya? | where is she/he?
saan kayo nakatira? | where do you live?
ilan ang aso ninyo? | how many dogs do you have?
magkano ang aklat? | how much is the book?
kanino ang bahay na iyan? | whose house is that?
para sa kanino iyan? | for whom is that?
sa kanino iyan? | to whom does that belong?
sinu-sino ang inyong mga aso? | which of the dogs are yours?
anu-ano ang mga pangalan ninyo? | what are your names?
kani-kanino ang mga bahay na iyan? | whose houses are those?
saan-saan kayo nakatira? | where do you (plural) live?
magka-magkano ang mga aklat? | how much are each of the books?
ilan-ilan ang mga aso nila? | how many dogs do they have?
sino ang taong iyan? | who is that person?
sinong tao iyan? | who is that person?
sino 'yan? | who is that person?
kanino ang aklat ito? | whose book is this?
ano ang simbahan iyan? | what church is that?
kilala mo ba siya? | do you know her?
oo kilala ko siya | yes i know her
sasama ka ba? | are you coming along?
gusto mo ba ito? | do you like this?
uuwi ka na ba? | are you going home already?
gusto mo bang manood ng sine? | would you like to watch a movie?
tama ba ito? | is this correct?
tama ba ako? | am i correct?
ito ay isang aso | this is a dog
ano ba 'yan? | what's that?
gusto ko ang tubig | i like water
ano ang gusto mo? | what do you like?
pupunta ako sa gym | I'm going to the gym
saan ka pupunta? | where are you going?
siya ay si Kristel | she is kristel
sino ba siya? | who is she/he?
na sa bahay siya | she is at the house
nasaan siya? | where is she/he?
sila ba ay aalis na? | are they leaving now?
sila ay aalis na | they will leave now
ang babae ba ay mabait? | is the woman good?
ang babae ay mabait | the woman is kind
si pedro ba ay marunong? | is Pedro intelligent?
si pedro ay marunong | Pedro is intelligent
aalis sila | they will leave
aalis ba sila? | will they leave?
mabait ang babae | the woman is kind
mabait ba ang babae? | is the woman kind?
kakain ako | i shall eat
kakain ba ako? | shall i eat?
sino ba ang kasama mo? | who is your companion?
ano ba ang gusto mo? | what do you like?
saan ba kayo pupunta? | where are you going?
kailan ba kayo aalis? | when will you leave?
magkano ba ito? | how much is this?
aalis na ba sila? | will they leave already?
aalis ka na ba? | will you leave already?
maganda rin ba ang babae? | is the woman pretty too?
malinis daw ba ang aso? | is the dog clean as they say?
marumi raw ba ang aso? | is the dog dirty as they say?
marumi pa ba siya? | is he/she still dirty?
gusto bang kumain ng aso? | does the dog like to eat?
ibig bang umalis ng lalaki? | does the man like to leave?
ayaw bang umalis ng babae? | doesn't the woman want to leave?
dapat ba siyang magsalita? | should he/she speak?
puwede ba akong umalis? | can i go?
maaari ba kaming magtiwala sa iyo? | should we trust you?
aalis ka ba? | are you leaving?
sino ka ba? | who are you?
ang kaibigan ko ay si Hebert | my friend is Hebert
sila ay pupunta sa kapilya | they went to the chapel
ako ay guro | i am (a) professor

*descriptors
maganda| beautiful | ma-gan-DA
masaya | fun
masakit | painful
makati | itchy
malaki | big
maliit | small
malinis | clean
marumi | dirty
mahabi | long
maiksi | short
nakakainis | annoying
manipis | thin
makapa | thick
marami | many
marunong | intelligent
mataba | fat
masama | bad
mabait | kind
mabuti | good
mainit | hot
malamig | cold
bago | new
luma | old | inanimate
matanda | old | animate
mura | cheap
mahal | expensive
masarap | delicious
malusog | healthy
mataas | high
mababa | low
mahirap | poor | difficult
mayaman | rich
masipag | industrious
mabilis | fast
madilim | dark
mahusay | efficient
payat | thin
mataba | fat
matapang | brave
maingay | noisy
tahimik | quiet
tamad | lazy
matamis | sweet
malakas | strong

*markers
si
sina
ang
mga
na
ay
sa
ni
nina
ng
ay

*nouns
ako | i 
ikaw | you singular 
ka | you singular
siya | He/She
kami | we excluding listener
tayo | we including listener
kayo | you plural/formal
sila | they
akin | my
iyo | your (singular)
kaniya | his/her
amin | our (exclusive)
atin | our (inclusive)
inyo | your (plural)
kanila | their
ko | my
mo | your (singular)
niya | his/her
namin | our (exclusive)
natin | our (inclusive)
ninyo | your (plural)
nila | their
